dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF app <= 4.025000095367432 THEN defect = False,[0.12195144895440933],IF nd > 1.7799999713897705 AND nrev > 1.9900000095367432 AND ndev <= 148.38999938964844 THEN defect = False,[0.12523586690239277],False
openstack,IF app <= 2.0049999952316284 AND app > 1.8849999904632568 AND nrev > 1.9549999833106995 THEN defect = False,[0.11226618404808586],IF rtime > -17.539999961853027 AND rsawr <= 0.9549999833106995 AND la <= 84.85499954223633 THEN defect = False,[0.11587878638256142],False
openstack,IF nrev > 1.7599999904632568 AND nrev > 1.0099999904632568 AND nrev <= 4.894999980926514 THEN defect = False,[0.09895701393867004],IF asawr > 0.014999999664723873 AND age <= 2.200000047683716 THEN defect = False,[0.10802813812851211],False
openstack,IF ent > 0.925000011920929 AND app <= 4.009999990463257 THEN defect = False,[0.3965490431106071],IF ent > 0.5450000166893005 AND app > 2.9950000047683716 THEN defect = False,[0.31030995029789904],False
openstack,IF ent <= 0.7450000047683716 AND nd > 1.75 THEN defect = False,[0.08975930413108285],IF age > -0.4299999922513962 AND ndev > 57.040000915527344 AND age <= 4.115000009536743 THEN defect = False,[0.30376791375494644],False
openstack,IF la <= 84.06500244140625 AND rrexp > 300.49000549316406 AND rrexp > 576.8500061035156 THEN defect = False,[0.13280478302755788],IF rtime > -1.155000001192093 AND asawr > 0.004999999888241291 AND rsawr <= 0.875 THEN defect = False,[0.09672015047369997],False
openstack,IF nrev > 1.0149999856948853 AND nrev <= 4.509999990463257 AND la > 1.4350000023841858 THEN defect = False,[0.256867487446799],IF nrev > 1.9950000047683716 AND nd <= 9.360000133514404 AND asawr > 0.3050000071525574 THEN defect = False,[0.3044256532590695],False
openstack,IF nrev <= 3.9200000762939453 AND age > 0.125 AND la > 10.025000095367432 THEN defect = True,[0.22608637649499128],IF asawr <= 0.07499999925494194 THEN defect = True,[0.29068304581632526],False
openstack,IF nrev > 1.9900000095367432 AND nrev <= 6.414999961853027 AND nrev > 1.0649999976158142 THEN defect = False,[0.10748309081944124],IF ent > 0.03500000014901161 AND nrev <= 3.0449999570846558 AND nrev <= 6.140000104904175 THEN defect = False,[0.3294902100933083],False
openstack,IF nrev <= 1.975000023841858 AND rrexp <= 813.3800048828125 THEN defect = False,[0.2299104762475366],IF ndev > 5.735000133514404 AND ent <= 0.004999999888241291 THEN defect = False,[0.2118088485494107],False
openstack,IF rrexp <= 2054.3800048828125 AND ndev > 5.599999904632568 AND ent <= 0.9350000023841858 THEN defect = False,[0.13262714469147827],IF rrexp <= 1528.9600219726562 AND nrev > 1.9850000143051147 THEN defect = False,[0.11579030310658237],False
openstack,IF nrev <= 1.1650000214576721 AND rsawr <= 0.925000011920929 THEN defect = False,[0.25399741926779373],IF app > 2.024999976158142 AND app > 2.965000033378601 AND app <= 3.0399999618530273 THEN defect = False,[0.11580893563118574],False
openstack,IF rrexp <= 937.6300048828125 AND rrexp <= 836.7099914550781 THEN defect = False,[0.09442441214065549],IF rrexp <= 1001.0750122070312 AND la > 10.914999961853027 AND rrexp <= 737.739990234375 THEN defect = False,[0.02287939539154135],False
openstack,IF ent <= 0.004999999888241291 AND la <= 12.989999771118164 THEN defect = False,[0.026456118568733974],IF app <= 3.0749999284744263 AND nrev <= 7.930000066757202 THEN defect = False,[0.13897218185748525],False
openstack,IF ent > 0.009999999776482582 AND app > 0.9799999892711639 AND app > 1.949999988079071 THEN defect = False,[0.38185625616565544],IF nrev > 1.0049999952316284 AND nrev <= 2.0049999952316284 AND nrev > 1.975000023841858 THEN defect = False,[0.10203610960073359],False
openstack,IF ndev <= 142.72500610351562 AND rrexp <= 3286.8900146484375 AND app > 3.9600000381469727 THEN defect = False,[0.27321366480976683],IF ent > 0.024999999441206455 AND ent <= 0.8949999809265137 AND nd > 1.4950000047683716 THEN defect = False,[0.09761710289705383],False
