dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF nrev > 0.7549999952316284 AND age <= 3.3549998998641968 AND rrexp > 2146.0799560546875 THEN defect = True,[0.4881721238265433],IF nrev > 2.5 AND rrexp > 1909.9249877929688 AND app <= 7.9649999141693115 THEN defect = True,[0.11679437220340971],False
openstack,IF nrev > 3.5199999809265137 AND rrexp <= 627.9300231933594 AND age > -1.8400000035762787 THEN defect = False,[0.5611441863833793],IF age > 8.21999979019165 AND nd <= 3.950000047683716 THEN defect = False,[0.14795792079076467],False
openstack,IF la > -84.70500183105469 AND age <= 9.625 AND nrev > 2.1700000762939453 THEN defect = True,[0.23548489321418967],IF app <= 2.5049999952316284 AND ent > 0.23999999463558197 AND nrev <= 3.2200000286102295 THEN defect = True,[0.2580074482020167],False
openstack,IF age <= 18.614999771118164 AND rrexp > 1833.3200073242188 AND la > -14.299999713897705 THEN defect = True,[0.7187025362673692],IF rrexp <= 2043.1199951171875 AND app <= 2.9450000524520874 THEN defect = True,[0.11521205187988168],False
openstack,IF nd <= 2.4350000619888306 AND app <= 3.1799999475479126 THEN defect = True,[0.5726987655319686],IF nrev > 3.430000066757202 AND rrexp > -118.38500213623047 AND app <= 3.4499999284744263 THEN defect = True,[0.305455192766179],False
openstack,IF nrev <= 4.585000038146973 AND age > 6.2799999713897705 THEN defect = False,[0.0681484547459569],IF nrev <= 7.914999961853027 AND app > 2.1950000524520874 AND ent <= 1.1649999618530273 THEN defect = False,[0.06220660646508621],False
openstack,IF app > 1.5850000381469727 AND nrev <= 7.914999961853027 AND rrexp <= 840.7999877929688 THEN defect = False,[0.5405827277738956],IF rrexp > -165.53500366210938 AND ndev > 20.5 THEN defect = False,[0.16297967218623852],False
openstack,IF age > 4.174999952316284 AND nrev <= 4.954999923706055 AND rrexp <= 1046.60498046875 THEN defect = False,[0.2194812052164567],IF app <= 2.6049998998641968 AND la <= 75.41500091552734 AND nrev <= 5.625 THEN defect = False,[0.28627013695505954],False
openstack,IF age <= 13.989999771118164 AND la > 36.904998779296875 THEN defect = True,[0.8722436868881328],IF rrexp > 2264.0400390625 AND rtime <= 31.4399995803833 AND nrev > 1.1749999523162842 THEN defect = True,[0.11509675683940869],False
openstack,IF age > 4.325000047683716 THEN defect = False,[0.6405701243604369],IF rrexp <= 556.2200012207031 THEN defect = False,[0.05971672231566501],False
openstack,IF app > 3.8049999475479126 AND rrexp <= 1666.1699829101562 AND age > -3.200000047683716 THEN defect = False,[0.09065205288137122],IF la <= 230.5199966430664 AND nd <= 2.8799999952316284 AND app > 3.9850000143051147 THEN defect = False,[0.3167967680114788],False
openstack,IF app > 0.08499999903142452 AND rrexp <= 1046.989990234375 THEN defect = False,[0.10120824901345284],IF ent <= 0.2149999961256981 THEN defect = False,[0.1542050223409256],False
openstack,IF nrev <= 6.980000019073486 AND rrexp <= 727.7900085449219 THEN defect = False,[0.06371748951800614],IF nrev <= 6.115000009536743 AND rtime > -112.20000076293945 AND app > 2.2549999952316284 THEN defect = False,[0.12638563493639693],False
